"","cam","carcass","study_area","utm_z","utm_e","utm_n","long","lat","first_photo","last_photo","season","habitat","elevation","building_density","road_distance","road_class","trail_distance","Folder","total.time","nobs","building_distance"
"37","NEC118M-1135","Moose_Calf","Northeast","11U",5358977,468879,-117.420319231209,48.383190281106,"2018-08-12","2018-12-03","Summer","OpenConifer",1071.89,0,144.476895708159,"Unimproved Road",974.370018695621,"Reconyx",198.631111111111,10,1969.29362773131
"38","NEC122M-2028","Elk_Calf","Northeast","11U",5355880,448968,-117.688844423405,48.3540331545524,"2019-01-23","2019-02-24","Winter","OpenConifer",812.45,1,278.168891126339,"Unimproved Road",10800.4248684205,"Moultrie",0.111666666666667,1,897.230012275099
"39","NEC122M-2028","Elk_Calf","Northeast","11U",5355880,448968,-117.688844423405,48.3540331545524,"2019-01-23","2019-02-24","Winter","OpenConifer",812.45,1,278.168891126339,"Unimproved Road",10800.4248684205,"Reconyx",0.115,2,897.230012275099
"40","NEC122M-769","WTD_Adult","Northeast","11U",5350486,444634,-117.746632308211,48.3051440859052,"2018-06-17","2018-07-19","Summer","Riparian",549.27,108,199.646503412804,"Unimproved Road",12655.0995478542,"Reconyx",0.0113888888888889,1,114.590962804298
"41","NEC140M-1752","WTD_Adult","Northeast","11U",5346185,462162,-117.509887014642,48.2677421982242,"2019-09-14","2019-11-14","Summer","DenseConifer",1004.96,0,76.0502604465517,"Unimproved Road",5206.85849117558,"Moultrie",12.8336111111111,7,4962.9621875334
"42","NEC140M-1752","WTD_Adult","Northeast","11U",5346185,462162,-117.509887014642,48.2677421982242,"2019-09-14","2019-11-14","Summer","DenseConifer",1004.96,0,76.0502604465517,"Unimproved Road",5206.85849117558,"Reconyx",4.82944444444444,3,4962.9621875334
"43","NEC140M-369","WTD_Adult","Northeast","11U",5341447,457278,-117.575220061783,48.2248068716022,"2019-01-25","2019-03-07","Winter","OpenConifer",927.56,1,83.8405868024361,"Unimproved Road",7075.14394608792,"Moultrie",35.8875,2,926.361254135204
"44","NEC140M-369","WTD_Adult","Northeast","11U",5341447,457278,-117.575220061783,48.2248068716022,"2019-01-25","2019-03-07","Winter","OpenConifer",927.56,1,83.8405868024361,"Unimproved Road",7075.14394608792,"Reconyx",35.8752777777778,2,926.361254135204
"45","NEC141M-1267","Moose_Calf","Northeast","11U",5369844,455275,-117.605205245334,48.4801319776016,"2019-08-02","2019-09-09","Summer","DenseConifer",1040.29,0,88.2901613232493,"Unimproved Road",5402.53341912719,"Reconyx",8.09055555555556,3,4203.08464603461
"46","NEC144M-1507","Moose_Calf","Northeast","11U",5323809,422465,-118.040676376448,48.0628445711489,"2019-09-15","2019-11-14","Summer","Riparian",1063.74,0,91.6682160357662,"Unimproved Road",32458.192378174,"Reconyx",0.0144444444444444,1,4333.89432421175
"47","NEC144M-342","Moose_Yearling","Northeast","11U",5326157,431015,-117.926313662908,48.0849489435834,"2019-03-05","2019-03-11","Winter","OpenConifer",801.92,14,56.8071468411405,"Unimproved Road",28706.5583731486,"Moultrie",101.104166666667,160,269.205326642316
"48","NEC144M-342","Moose_Yearling","Northeast","11U",5326157,431015,-117.926313662908,48.0849489435834,"2019-03-05","2019-03-11","Winter","OpenConifer",801.92,14,56.8071468411405,"Unimproved Road",28706.5583731486,"Reconyx",27.6986111111111,32,269.205326642316
"49","NEC145M-1257","WTD_Adult","Northeast","11U",5373358,447982,-117.704322451825,48.5111817826021,"2019-08-11","2019-10-11","Summer","Riparian",845.39,30,53.048646942311,"Unimproved Road",4218.25488091583,"Moultrie",538.11,2,285.137471701026
"50","NEC145M-1257","WTD_Adult","Northeast","11U",5373358,447982,-117.704322451825,48.5111817826021,"2019-08-11","2019-10-11","Summer","Riparian",845.39,30,53.048646942311,"Unimproved Road",4218.25488091583,"Reconyx",559.663055555556,3,285.137471701026
"51","MVC202F-2588","WTD_Adult","Okanogan","10U",5379087,708410,-120.176943441183,48.530252637119,"2018-02-20","2018-07-03","Winter","Sagebrush",610.31,30,0.383290097576368,"Unimproved Road",4860.00655487706,"Moultrie",0,0,147.997829398466
"52","MVC202F-2588","WTD_Adult","Okanogan","10U",5379087,708410,-120.176943441183,48.530252637119,"2018-02-20","2018-07-03","Winter","Sagebrush",610.31,30,0.383290097576368,"Unimproved Road",4860.00655487706,"Reconyx",0,0,147.997829398466
"53","MVC202F-3281","WTD_Adult","Okanogan","10U",5376296,708155,-120.181785723013,48.5052587920275,"2018-07-02","2018-10-24","Summer","Riparian",558.84,94,151.983349055015,"Unimproved Road",2736.36661004709,"Reconyx",0,0,340.814083991828
"54","MVC202F-3539","MD_Adult","Okanogan","10U",5374210,711704,-120.134854980685,48.4853299630415,"2018-07-28","2018-09-19","Summer","Sagebrush",694.42,26,310.258353586913,"Light-Duty Road",176.852618463544,"Moultrie",0,0,648.565985702525
