"","Cluster","lat","long","duration.hr"
"190","NEC111F-110",48.365173,-117.630943,12
"191","NEC111F-234",48.34255,-117.552567,75
"192","NEC112F-119",48.236801,-117.596438,20
"193","NEC112F-1232",48.284198,-117.508468,76
"194","NEC112F-1274",48.234687,-117.576444,19
"195","NEC112F-1289",48.208871,-117.597917,63
"196","NEC112F-134",48.225215,-117.57927,8
"197","NEC112F-1411",48.225594,-117.562223,32
"198","NEC112F-1451",48.228479,-117.55373,79
"199","NEC112F-146",48.228486,-117.589573,220
"200","NEC112F-327",48.233529,-117.618187,124
"201","NEC112F-361",48.224011,-117.615609,60
"202","NEC112F-444",48.227716,-117.619896,111
"203","NEC112F-479",48.23351,-117.617973,100
"204","NEC112F-517",48.226108,-117.612397,36
"205","NEC113F-1257",48.560631,-117.526754,83
"206","NEC113F-1357",48.571017,-117.525258,55
"207","NEC113F-1390",48.635979,-117.477599,127
"208","NEC115F-1100",48.163306,-117.60747,35
"209","NEC115F-1227",48.138763,-117.575624,47
"210","NEC116F-1056",48.259979,-117.405358,92
"211","NEC116F-658",48.351127,-117.677303,7
"212","NEC116F-693",48.305499,-117.61417,140
"213","NEC117F-1243",48.163608,-117.605608,64
"214","NEC117F-989",48.166743,-117.58539,76
"215","NEC118M-1135",48.383074,-117.419969,95
"216","NEC118M-1209",48.496093,-117.385826,64
"217","NEC118M-638",48.288045,-117.434209,36
"218","NEC118M-708",48.410512,-117.352705,16
"219","NEC118M-852",48.399647,-117.31629,100
"220","NEC118M-936",48.330052,-117.372112,51
"221","NEC122M-2028",48.354085,-117.688847,175
"222","NEC122M-709",48.360047,-117.823139,24
"223","NEC122M-769",48.304739,-117.74664,144
"224","NEC140M-369",48.224739,-117.574734,104
"225","NEC141M-351",48.414793,-117.536313,415
"226","NEC144M-281",48.076129,-117.869847,160
"227","NEC144M-346",48.08489,-117.926185,187
