"","X","Cluster","duration.hr","building_density","building_distance","road_density","road_distance","trail_density","trail_distance","forest_density","season"
"25",25,"MVC202F-415",144,0,1.32213619722369,31,0.515686800941368,0,2.28293791480807,0.267217636108398,"winter"
"26",26,"MVC202F-733",136,8,0.418581147357053,12,0.195900830344185,0,1.66134570087448,0.0266299359500408,"winter"
"27",27,"MVC202F-788",88,19,0.280312808643093,58,0.150404591955514,0,4.2432647310667,0,"winter"
"28",28,"MVC202F-800",128,0,1.35462272397918,22,0.135560432370761,0,5.89626056013931,0.741965115070343,"winter"
"29",29,"MVC202F-944",11,0,1.18790920227483,15,0.492741227289842,0,2.11937456360035,0.254361808300018,"winter"
"30",30,"MVC202F-956",12,6,0.870390943021416,75,0.0982769073163468,0,3.64386742760178,0.00642791530117393,"winter"
"31",31,"MVC202F-960",27,12,0.867929686029878,61,0.145756906135336,0,3.85730459835503,0.00642791530117393,"winter"
"32",32,"MVC202F-985",27,18,0.383745183307444,41,0.102430964521475,0,4.05337730705685,0.636363625526428,"winter"
"33",33,"MVC204F-308",19,0,3.03547738163095,7,0.671321248236172,1,0.122096310894662,0.426078975200653,"winter"
"34",34,"MVC205F-1041",44,0,6.34275086999679,11,0.0694689858144375,1,0.974224413710786,0.628099203109741,"summer"
"35",35,"MVC205F-1080",23,0,5.67319331337596,12,0.121111559277815,0,2.8086852421649,0.74931126832962,"summer"
"36",36,"MVC205F-1475",95,0,5.65448841980753,5,0.300699103318234,1,0.68433190981945,0.92194676399231,"summer"
"37",37,"MVC205F-1506",83,0,7.41835026018787,9,0.176472750713673,0,3.30819886021037,0.844811737537384,"summer"
"38",38,"MVC205F-1658",304,0,4.87461269547317,11,0.102392569296261,0,5.40274624114739,0.777777791023254,"summer"
"39",39,"MVC205F-1773",143,0,2.90409163148386,8,0.232121446417272,0,2.60721387906623,0.925619840621948,"summer"
"40",40,"MVC205F-2073",212,2,0.800230366358696,27,0.0577035454568194,0,2.42251865601728,0.104683198034763,"winter"
"41",41,"MVC205F-2086",71,0,1.24065958017271,35,0.191940546741281,0,2.73319795600994,0.110192835330963,"winter"
"42",42,"MVC205F-2178",75,0,2.40656814370684,12,0.0300704310728055,0,2.36368553191986,0.186409547924995,"winter"
"43",43,"MVC205F-2305",119,0,2.6203244197132,39,0.0852588828889021,0,4.17436264623209,0.171717166900635,"winter"
